ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre de la descarga 1,URL de la descarga 1
11,simple,BZPNTBOCNIN8,Conjunto Niño Pantalon - Buzo Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Buzo Boca Juniors,,,,taxable,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,Talla,8,1,0,,
12,simple,BZPNTRIVNIN10,Conjunto Niño Pantalon - Buzo River Plate,1,0,visible,Conjunto Niño Pantalon - Buzo River Plate,,,,taxable,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
13,simple,BZPNTBOCNIN10,Conjunto Niño Pantalon - Buzo Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Buzo Boca Juniors,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
14,simple,BZPNTAFANIN10,Conjunto Niño Pantalon - Buzo AFA,1,0,visible,Conjunto Niño Pantalon - Buzo AFA,,,,taxable,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
15,simple,BZPNTCHENIN10,Conjunto Niño Pantalon - Buzo Chelsea,1,0,visible,Conjunto Niño Pantalon - Buzo Chelsea,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
16,simple,BZPNTMADNIN10,Conjunto Niño Pantalon - Buzo Real Madrid,1,0,visible,Conjunto Niño Pantalon - Buzo Real Madrid,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
17,simple,BZPNTMILNIN10,Conjunto Niño Pantalon - Buzo Milan,1,0,visible,Conjunto Niño Pantalon - Buzo Milan,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
18,simple,BZPNTLIVNIN10,Conjunto Niño Pantalon - Buzo Liverpool,1,0,visible,Conjunto Niño Pantalon - Buzo Liverpool,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
19,simple,BZPNTBARNIN10,Conjunto Niño Pantalon - Buzo Barcelona,1,0,visible,Conjunto Niño Pantalon - Buzo Barcelona,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,10,1,0,,
20,simple,BZPNTRIVNIN12,Conjunto Niño Pantalon - Buzo River Plate,1,0,visible,Conjunto Niño Pantalon - Buzo River Plate,,,,taxable,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
21,simple,BZPNTBOCNIN12,Conjunto Niño Pantalon - Buzo Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Buzo Boca Juniors,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
22,simple,BZPNTMADNIN12,Conjunto Niño Pantalon - Buzo Real Madrid,1,0,visible,Conjunto Niño Pantalon - Buzo Real Madrid,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
23,simple,BZPNTBARNIN12,Conjunto Niño Pantalon - Buzo Barcelona,1,0,visible,Conjunto Niño Pantalon - Buzo Barcelona,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
24,simple,BZPNTAFANIN12,Conjunto Niño Pantalon - Buzo AFA,1,0,visible,Conjunto Niño Pantalon - Buzo AFA,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
25,simple,BZPNTMILNIN12,Conjunto Niño Pantalon - Buzo Milan,1,0,visible,Conjunto Niño Pantalon - Buzo Milan,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
26,simple,BZPNTCHENIN12,Conjunto Niño Pantalon - Buzo Chelsea,1,0,visible,Conjunto Niño Pantalon - Buzo Chelsea,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
27,simple,BZPNTLIVNIN12,Conjunto Niño Pantalon - Buzo Liverpool,1,0,visible,Conjunto Niño Pantalon - Buzo Liverpool,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,12,1,0,,
28,simple,BZPNTRIVNIN14,Conjunto Niño Pantalon - Buzo River Plate,1,0,visible,Conjunto Niño Pantalon - Buzo River Plate,,,,taxable,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
29,simple,BZPNTBOCNIN14,Conjunto Niño Pantalon - Buzo Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Buzo Boca Juniors,,,,taxable,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
30,simple,BZPNTMADNIN14,Conjunto Niño Pantalon - Buzo Real Madrid,1,0,visible,Conjunto Niño Pantalon - Buzo Real Madrid,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
31,simple,BZPNTBARNIN14,Conjunto Niño Pantalon - Buzo Barcelona,1,0,visible,Conjunto Niño Pantalon - Buzo Barcelona,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
32,simple,BZPNTAFANIN14,Conjunto Niño Pantalon - Buzo AFA,1,0,visible,Conjunto Niño Pantalon - Buzo AFA,,,,taxable,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
33,simple,BZPNTMILNIN14,Conjunto Niño Pantalon - Buzo Milan,1,0,visible,Conjunto Niño Pantalon - Buzo Milan,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
34,simple,BZPNTCHENIN14,Conjunto Niño Pantalon - Buzo Chelsea,1,0,visible,Conjunto Niño Pantalon - Buzo Chelsea,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
35,simple,BZPNTLIVNIN14,Conjunto Niño Pantalon - Buzo Liverpool,1,0,visible,Conjunto Niño Pantalon - Buzo Liverpool,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,14,1,0,,
36,simple,BZPNTRIVNIN16,Conjunto Niño Pantalon - Buzo River Plate,1,0,visible,Conjunto Niño Pantalon - Buzo River Plate,,,,taxable,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
37,simple,BZPNTBOCNIN16,Conjunto Niño Pantalon - Buzo Boca Juniors,1,0,visible,Conjunto Niño Pantalon - Buzo Boca Juniors,,,,taxable,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
38,simple,BZPNTMADNIN16,Conjunto Niño Pantalon - Buzo Real Madrid,1,0,visible,Conjunto Niño Pantalon - Buzo Real Madrid,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
39,simple,BZPNTBARNIN16,Conjunto Niño Pantalon - Buzo Barcelona,1,0,visible,Conjunto Niño Pantalon - Buzo Barcelona,,,,taxable,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
40,simple,BZPNTAFANIN16,Conjunto Niño Pantalon - Buzo AFA,1,0,visible,Conjunto Niño Pantalon - Buzo AFA,,,,taxable,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Talla,16,1,0,,
